sampleName,Time(abs),boxTemperature,boxSetpoint,boxHumidity,percentageX,percentageY,percentageZ,pressureX,pressureY,pressureA,vacuum,fanSpeed,roomTemperature,roomHumidity,Time(rel)
heavyVsRef,3762053315,31.987,32,19.59,97.34,94.59,50.0,1.854,1.865,-0.1,0.0001,86,23.71,29.7,1
heavyVsRef,3762053320,31.983,32,19.59,97.34,94.59,50.0,1.816,1.865,0.1,0.0001,85,23.71,29.7,6
heavyVsRef,3762053325,31.978,32,19.6,97.34,94.59,50.0,1.747,1.864,0.1,0.0001,83,23.7,29.7,11
heavyVsRef,3762053330,31.982,32,19.61,97.34,94.59,50.0,1.747,1.865,0.1,0.0001,82,23.69,29.7,16
heavyVsRef,3762053335,31.986,32,19.59,97.16,94.59,50.0,1.748,1.864,0.1,0.0001,82,23.66,29.71,21
heavyVsRef,3762053340,31.985,32,19.58,97.16,94.59,50.0,1.75,1.864,0.0,0.0001,86,23.66,29.73,26
heavyVsRef,3762053345,31.98,32,19.58,97.16,94.59,50.0,1.751,1.865,0.1,0.0001,83,23.65,29.75,31
heavyVsRef,3762053350,31.979,32,19.58,97.16,94.59,50.0,1.752,1.864,144.8,0.0001,83,23.64,29.79,36
heavyVsRef,3762053355,31.975,32,19.6,97.16,94.59,50.0,1.752,1.865,188.8,0.0001,82,23.64,29.8,41
heavyVsRef,3762053360,31.966,32,19.58,97.16,94.59,50.0,1.752,1.865,212.6,0.0001,78,23.66,29.79,46
heavyVsRef,3762053365,31.968,32,19.58,97.16,94.59,50.0,1.752,1.865,366.7,0.0001,79,23.67,29.77,51
heavyVsRef,3762053370,31.978,32,19.56,97.16,94.59,50.0,1.752,1.865,366.9,0.0001,83,23.68,29.74,56
heavyVsRef,3762053375,31.981,32,19.6,97.16,94.59,50.0,1.752,1.865,366.9,0.0001,82,23.7,29.7,61
heavyVsRef,3762053380,32.002,32,19.58,97.16,94.59,50.0,1.753,1.865,367.0,0.0001,82,23.71,29.66,66
heavyVsRef,3762053385,31.996,32,19.59,97.16,94.59,59.0,1.753,1.866,366.3,0.0001,82,23.72,29.62,71
heavyVsRef,3762053390,32.007,32,19.55,97.16,94.59,56.9,1.753,1.865,365.8,0.0001,82,23.71,29.6,76
heavyVsRef,3762053395,32.019,32,19.54,97.16,94.59,56.9,1.752,1.865,366.0,0.0001,99,23.69,29.61,81
heavyVsRef,3762053400,32.006,32,19.53,97.16,94.59,56.9,1.752,1.864,366.0,0.0001,94,23.68,29.63,86
heavyVsRef,3762053405,32.004,32,19.55,97.16,94.59,52.0,1.752,1.864,354.9,0.0001,93,23.67,29.68,91
heavyVsRef,3762053410,32.005,32,19.54,97.16,94.59,50.0,1.751,1.863,339.7,0.0001,93,23.68,29.69,96
heavyVsRef,3762053415,31.996,32,19.56,97.16,94.59,50.0,1.751,1.864,339.5,0.0001,90,23.66,29.66,101
