sampleName,Time(abs),boxTemperature,boxSetpoint,boxHumidity,percentageX,percentageY,percentageZ,pressureX,pressureY,pressureA,vacuum,fanSpeed,roomTemperature,roomHumidity,Time(rel)
lightVsRef,3744992795,31.486,31.5,21.592,67.3,84.4,50.0,1.879,1.885,6.6,0.00126,12,,,-12
lightVsRef,3744992800,31.49,31.5,21.592,67.3,84.4,50.0,1.88,1.886,6.5,0.00126,13,,,-7
lightVsRef,3744992810,31.488,31.5,21.599,67.3,84.4,50.0,1.88,1.886,6.6,0.00126,13,,,3
lightVsRef,3744992815,31.486,31.5,21.599,67.3,84.4,50.0,1.752,1.886,6.5,0.00126,12,,,8
lightVsRef,3744992820,31.489,31.5,21.584,67.3,84.4,50.0,1.751,1.886,6.6,0.00126,14,,,13
lightVsRef,3744992825,31.492,31.5,21.584,67.3,84.4,50.0,1.752,1.886,6.6,0.00126,14,,,18
lightVsRef,3744992830,31.495,31.5,21.607,67.38,84.4,50.0,1.75,1.885,6.6,0.00127,14,,,23
lightVsRef,3744992835,31.497,31.5,21.584,67.46,84.4,50.0,1.749,1.883,6.6,0.00127,14,,,28
lightVsRef,3744992840,31.498,31.5,21.584,67.46,84.4,50.0,1.75,1.884,6.5,0.00127,17,,,33
lightVsRef,3744992845,31.5,31.5,21.584,67.46,84.4,50.0,1.751,1.887,6.5,0.00127,18,,,38
lightVsRef,3744992850,31.499,31.5,21.592,67.46,84.4,50.0,1.753,1.887,238.2,0.00127,18,,,43
lightVsRef,3744992855,31.5,31.5,21.584,67.46,84.4,50.0,1.753,1.886,302.9,0.00127,18,,,48
lightVsRef,3744992860,31.503,31.5,21.569,67.46,84.4,50.0,1.751,1.884,302.9,0.00127,19,,,53
lightVsRef,3744992865,31.496,31.5,21.576,67.46,84.4,50.0,1.752,1.886,303.2,0.00128,16,,,58
lightVsRef,3744992870,31.489,31.5,21.592,67.46,84.4,52.0,1.75,1.885,282.7,0.00127,13,,,63
lightVsRef,3744992875,31.484,31.5,21.599,67.46,84.4,50.0,1.753,1.886,276.4,0.00127,11,,,68
lightVsRef,3744992880,31.496,31.5,21.584,67.46,84.4,50.0,1.752,1.886,276.5,2.54,16,,,73
lightVsRef,3744992885,31.495,31.5,21.592,67.46,84.4,50.0,1.753,1.887,276.2,1.24,16,,,78
lightVsRef,3744992890,31.495,31.5,21.584,67.46,84.4,50.0,1.751,1.886,276.4,0.74,16,,,83
lightVsRef,3744992895,31.5,31.5,21.569,67.46,84.4,50.0,1.752,1.885,276.4,4.24,18,,,88
lightVsRef,3744992900,31.499,31.5,21.584,67.46,84.4,50.0,1.75,1.886,276.2,1.65,17,,,93
lightVsRef,3744992905,31.495,31.5,21.569,67.46,84.4,50.0,1.752,1.886,276.3,0.956,16,,,98
lightVsRef,3744992910,31.495,31.5,21.584,67.46,84.4,50.0,1.752,1.886,276.1,0.642,16,,,103
lightVsRef,3744992915,31.496,31.5,21.584,67.46,84.4,50.0,1.751,1.886,276.3,0.0459,16,,,108
lightVsRef,3744992920,31.494,31.5,21.584,67.46,84.4,50.0,1.751,1.886,276.2,0.0162,15,,,113
lightVsRef,3744992925,31.497,31.5,21.584,67.46,84.4,50.0,1.754,1.886,276.4,0.00748,16,,,118
lightVsRef,3744992930,31.495,31.5,21.569,67.46,84.4,50.0,1.752,1.885,276.3,0.00392,16,,,123
lightVsRef,3744992935,31.497,31.5,21.569,67.46,84.4,50.0,1.753,1.886,276.4,0.00248,16,,,128
